SalePrice,Neighborhood,YearBuilt,Garage,Fireplace,Condition,HouseStyle,BuildingType,HalfBath,FullBath,Bedrooms,HouseArea,LotArea,GarageCars,MasVnrArea,Exterior1st,YearRemodAdd
208500,CollgCr,2003,1.0,0.0,Good,Two story,Single-family,1,2,3,3114,8450,2,196.0,VinylSd,2003
181500,Veenker,1976,1.0,1.0,Above Average,One story,Single-family,0,2,3,2984,9600,2,0.0,MetalSd,1976
223500,CollgCr,2001,1.0,1.0,Good,Two story,Single-family,1,2,3,3314,11250,2,162.0,VinylSd,2002
140000,Crawfor,1915,1.0,1.0,Good,Two story,Single-family,0,1,3,3115,9550,3,0.0,Wd Sdng,1970
250000,NoRidge,2000,1.0,1.0,Very Good,Two story,Single-family,1,2,4,4179,14260,3,350.0,VinylSd,2000
143000,Mitchel,1993,1.0,0.0,Average,One and a half story,Single-family,1,1,1,2638,14115,2,0.0,VinylSd,1995
307000,Somerst,2004,1.0,1.0,Very Good,One story,Single-family,0,2,3,4016,10084,2,186.0,VinylSd,2005
200000,NWAmes,1973,1.0,1.0,Good,Two story,Single-family,1,2,3,3681,10382,2,240.0,HdBoard,1973
129900,OldTown,1931,1.0,1.0,Good,One and a half story,Single-family,0,2,2,3194,6120,2,0.0,BrkFace,1950
118000,BrkSide,1939,1.0,1.0,Average,One and a half story,Two-family,0,1,2,2273,7420,1,0.0,MetalSd,1950
129500,Sawyer,1965,1.0,0.0,Average,One story,Single-family,0,1,3,2464,11200,1,0.0,HdBoard,1965
345000,NridgHt,2005,1.0,1.0,Excellent,Two story,Single-family,0,3,4,4235,11924,3,286.0,WdShing,2006
144000,Sawyer,1962,1.0,0.0,Average,One story,Single-family,0,1,2,2176,12968,1,0.0,HdBoard,1962
279500,CollgCr,2006,1.0,1.0,Good,One story,Single-family,0,2,3,3828,10652,3,306.0,VinylSd,2007
157000,NAmes,1960,1.0,1.0,Above Average,One story,Single-family,1,1,2,2858,10920,1,212.0,MetalSd,1960
132000,BrkSide,1929,1.0,0.0,Good,One and a half story,Single-family,0,1,2,2262,6120,2,0.0,Wd Sdng,2001
149000,NAmes,1970,1.0,1.0,Above Average,One story,Single-family,0,1,2,2488,11241,2,180.0,Wd Sdng,1970
90000,Sawyer,1967,1.0,0.0,Below Average,One story,Duplex,0,2,2,1812,10791,2,0.0,MetalSd,1967
159000,SawyerW,2004,1.0,0.0,Average,One story,Single-family,1,1,3,2804,13695,2,0.0,VinylSd,2004
139000,NAmes,1958,1.0,0.0,Average,One story,Single-family,0,1,3,2662,7560,1,0.0,BrkFace,1965
325300,NridgHt,2005,1.0,1.0,Very Good,Two story,Single-family,1,3,4,4387,14215,3,380.0,VinylSd,2006
139400,IDOTRR,1930,1.0,1.0,Good,One and a half story,Single-family,0,1,3,2025,7449,1,0.0,Wd Sdng,1950
230000,CollgCr,2002,1.0,1.0,Very Good,One story,Single-family,0,2,3,4106,9742,2,281.0,VinylSd,2002
129900,MeadowV,1976,1.0,1.0,Average,One story,Townhouse,0,1,3,2672,4224,2,0.0,CemntBd,1976
154000,Sawyer,1968,1.0,1.0,Average,One story,Single-family,0,1,3,2390,8246,1,0.0,Plywood,2001
256300,NridgHt,2007,1.0,1.0,Very Good,One story,Single-family,0,2,3,4056,14230,3,640.0,VinylSd,2007
134800,NAmes,1951,1.0,0.0,Average,One story,Single-family,0,1,3,2376,7200,2,0.0,Wd Sdng,2000
306000,NridgHt,2007,1.0,1.0,Very Good,One story,Single-family,0,2,3,4180,11478,3,200.0,VinylSd,2008
207500,NAmes,1957,1.0,1.0,Average,One story,Single-family,0,1,2,3403,16321,1,0.0,MetalSd,1997
68500,BrkSide,1927,1.0,0.0,Below Average,One story,Single-family,0,1,1,1280,6324,1,0.0,MetalSd,1950
40000,IDOTRR,1920,1.0,0.0,Below Average,Two story,Single-family,0,1,3,2216,8500,1,0.0,BrkFace,1950
149350,Sawyer,1966,1.0,0.0,Average,One story,Single-family,1,1,3,2727,8544,1,0.0,HdBoard,2006
179900,CollgCr,2007,1.0,0.0,Very Good,One story,Single-family,0,2,3,2952,11049,2,0.0,VinylSd,2007
165500,NAmes,1959,1.0,1.0,Average,One story,Single-family,1,1,4,3545,10552,2,0.0,BrkFace,1959
277500,NridgHt,2005,1.0,1.0,Excellent,One story,Townhouse,0,2,2,3678,7313,2,246.0,MetalSd,2005
